name,category
Rich Cabbage Pasta,vegetable
Spicy Asparagus Salad,vegetable
Homestyle Eggplant Rice Bowl,vegetable
Classic Tomato Cake,vegetable
Simple Pear Cutlet,fruit
Homestyle Tomato Stir Fry,vegetable
Roasted Eggplant Salsa,vegetable
Baked Asparagus Salsa,vegetable
Classic Pumpkin Pulao,vegetable
Baked Pomegranate Wrap,fruit
Quick Garlic Masala,vegetable
Buttery Coconut Salad,fruit
Herbed Onion Rice Bowl,vegetable
Buttery Pumpkin Pulao,vegetable
Quick Okra Noodles,vegetable
Simple Corn Stir Fry,vegetable
Spicy Pineapple Fries,fruit
Spicy Pumpkin Salsa,vegetable
Baked Sweet Potato Muffins,vegetable
Golden Raspberry Curry,fruit
Spicy Zucchini Stir Fry,vegetable
Healthy Tangerine Noodles,fruit
Healthy Mango Bread,fruit
Fresh Corn Sandwich,vegetable
Easy Cranberry Muffins,fruit
Buttery Pomegranate Chutney,fruit
Sweet Lemon Roll,fruit
Baked Cabbage Pickle,vegetable
Traditional Cabbage Stir Fry,vegetable
Buttery Cauliflower Fries,vegetable
Spicy Orange Kebab,fruit
Classic Pear Stir Fry,fruit
Quick Sweet Potato Juice,vegetable
Quick Coconut Pie,fruit
Rich Lychee Kebab,fruit
Spicy Lychee Rice Bowl,fruit
Baked Kale Gravy,vegetable
Tangy Peas Sandwich,vegetable
Golden Lettuce Cutlet,vegetable
Tangy Orange Roast,fruit
Buttery Papaya Pickle,fruit
Healthy Blackberry Pickle,fruit
Grilled Blackberry Pancakes,fruit
Creamy Eggplant Pickle,vegetable
Tangy Apple Kebab,fruit
Healthy Banana Sandwich,fruit
Sweet Leek Pickle,vegetable
Grilled Zucchini Bread,vegetable
Grilled Lychee Noodles,fruit
Sweet Eggplant Noodles,vegetable
Buttery Bitter Gourd Cake,vegetable
Healthy Eggplant Pulao,vegetable
Healthy Melon Pancakes,fruit
Classic Tomato Salad,vegetable
Classic Blackberry Tart,fruit
Quick Pineapple Bread,fruit
Easy Capsicum Chutney,vegetable
Spicy Blackberry Bake,fruit
Healthy Pomegranate Roast,fruit
Crispy Asparagus Roast,vegetable
Roasted Melon Soup,fruit
Rich Guava Pancakes,fruit
Traditional Green Beans Cutlet,vegetable
Crispy Pomegranate Roll,fruit
Tangy Cauliflower Pasta,vegetable
Simple Cauliflower Stir Fry,vegetable
Herbed Radish Pulao,vegetable
Homestyle Eggplant Salsa,vegetable
Spicy Cherry Pickle,fruit
Creamy Spinach Bake,vegetable
Quick Kiwi Pie,fruit
Classic Dragon Fruit Juice,fruit
Roasted Bitter Gourd Smoothie,vegetable
Healthy Sweet Potato Roast,vegetable
Healthy Mango Muffins,fruit
Easy Apple Noodles,fruit
Baked Cucumber Kebab,vegetable
Grilled Melon Stir Fry,fruit
Healthy Celery Pickle,vegetable
Herbed Kiwi Fries,fruit
Grilled Okra Bread,vegetable
Creamy Cranberry Tart,fruit
Classic Grape Fries,fruit
Crispy Papaya Masala,fruit
Quick Lychee Cutlet,fruit
Healthy Green Beans Gravy,vegetable
Healthy Beetroot Pancakes,vegetable
Crispy Eggplant Rice Bowl,vegetable
Classic Eggplant Sandwich,vegetable
Herbed Peach Bread,fruit
Quick Lychee Pasta,fruit
Simple Guava Stir Fry,fruit
Buttery Beetroot Bread,vegetable
Easy Pomegranate Salad,fruit
Baked Carrot Salad,vegetable
Healthy Blackberry Pasta,fruit
Rich Bottle Gourd Masala,vegetable
Buttery Apple Muffins,fruit
Homestyle Apricot Noodles,fruit
Herbed Beetroot Salsa,vegetable
Quick Cabbage Kebab,vegetable
Herbed Plum Salad,fruit
Simple Corn Wrap,vegetable
Herbed Lychee Curry,fruit
Roasted Bottle Gourd Wrap,vegetable
Creamy Beetroot Roll,vegetable
Homestyle Eggplant Muffins,vegetable
Fresh Capsicum Cake,vegetable
Sweet Peach Sandwich,fruit
Grilled Sweet Potato Fries,vegetable
Healthy Mushroom Pulao,vegetable
Fresh Onion Smoothie,vegetable
Crispy Celery Smoothie,vegetable
Rich Broccoli Cutlet,vegetable
Healthy Pear Smoothie,fruit
Buttery Papaya Stir Fry,fruit
Healthy Papaya Roast,fruit
Crispy Kale Bake,vegetable
Fresh Tomato Bread,vegetable
Traditional Lemon Bread,fruit
Homestyle Celery Pancakes,vegetable
Tangy Passion Fruit Gravy,fruit
Golden Sweet Potato Pasta,vegetable
Buttery Raspberry Roll,fruit
Golden Cranberry Fries,fruit
Homestyle Peas Bread,vegetable
Homestyle Okra Stir Fry,vegetable
Creamy Apple Roll,fruit
Rich Cucumber Stew,vegetable
Roasted Onion Masala,vegetable
Roasted Leek Stir Fry,vegetable
Traditional Turnip Cutlet,vegetable
Rich Dragon Fruit Pie,fruit
Grilled Pumpkin Pie,vegetable
Homestyle Bitter Gourd Sandwich,vegetable
Buttery Apricot Bake,fruit
Easy Strawberry Tart,fruit
Rich Pear Pulao,fruit
Classic Passion Fruit Roast,fruit
Easy Lime Fries,fruit
Creamy Strawberry Bake,fruit
Baked Grape Stir Fry,fruit
Crispy Tomato Masala,vegetable
Healthy Cranberry Juice,fruit
Grilled Cabbage Smoothie,vegetable
Sweet Zucchini Stew,vegetable
Homestyle Leek Salsa,vegetable
Healthy Plum Cake,fruit
Golden Green Beans Sandwich,vegetable
Simple Dragon Fruit Rice Bowl,fruit
Roasted Asparagus Masala,vegetable
Tangy Mango Cake,fruit
Rich Cucumber Pie,vegetable
Herbed Coconut Muffins,fruit
Roasted Asparagus Pasta,vegetable
Herbed Apricot Rice Bowl,fruit
Classic Coconut Noodles,fruit
Golden Bottle Gourd Roll,vegetable
Spicy Blueberry Pulao,fruit
Tangy Bitter Gourd Smoothie,vegetable
Buttery Lettuce Bread,vegetable
Rich Corn Masala,vegetable
Herbed Mushroom Masala,vegetable
Rich Sweet Potato Muffins,vegetable
Roasted Radish Juice,vegetable
Baked Carrot Gravy,vegetable
Baked Mango Chutney,fruit
Tangy Tomato Cake,vegetable
Crispy Lemon Stir Fry,fruit
Rich Grape Cutlet,fruit
Traditional Cranberry Soup,fruit
Herbed Blackberry Sandwich,fruit
Buttery Orange Soup,fruit
Quick Mushroom Masala,vegetable
Healthy Passion Fruit Gravy,fruit
Quick Fig Tart,fruit
Tangy Banana Tart,fruit
Tangy Lemon Cutlet,fruit
Creamy Potato Pancakes,vegetable
Baked Green Beans Cake,vegetable
Baked Tangerine Roast,fruit
Sweet Kale Pie,vegetable
Crispy Mango Soup,fruit
Sweet Peas Bake,vegetable
Classic Lettuce Salsa,vegetable
Grilled Watermelon Bake,fruit
Tangy Orange Salsa,fruit
Buttery Watermelon Pie,fruit
Creamy Sweet Potato Gravy,vegetable
Spicy Pumpkin Rice Bowl,vegetable
Buttery Garlic Noodles,vegetable
Simple Corn Roll,vegetable
Golden Potato Sandwich,vegetable
Buttery Apricot Noodles,fruit
Herbed Kiwi Gravy,fruit
Sweet Fig Pulao,fruit
Quick Grape Roast,fruit
Grilled Kiwi Bread,fruit
Fresh Peas Bake,vegetable
Buttery Pomegranate Pickle,fruit
